[2025-03-10 17:57:12,672] 18 root - INFO - Models have been loaded..
[2025-03-10 17:57:14,675] 24 root - INFO - Arduino connected..
[2025-03-10 17:57:18,185] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 17:57:20,596] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 17:57:22,101] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 17:57:23,604] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 17:57:27,786] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:57:28,121] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 17:57:39,126] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 17:57:41,314] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:57:52,412] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 17:58:03,417] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
