[2025-03-10 17:19:32,712] 18 root - INFO - Models have been loaded..
[2025-03-10 17:19:34,714] 24 root - INFO - Arduino connected..
[2025-03-10 17:19:37,165] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 17:19:39,671] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 17:19:41,175] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 17:19:42,678] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 17:19:46,810] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:19:47,317] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 17:19:48,322] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 17:19:50,595] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:20:01,756] 46 root - INFO - Command 'STOP' sent to Arduino.
