[2025-03-10 17:22:51,565] 18 root - INFO - Models have been loaded..
[2025-03-10 17:22:53,567] 24 root - INFO - Arduino connected..
[2025-03-10 17:22:55,702] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 17:22:58,484] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 17:23:02,628] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:23:03,057] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 17:23:04,062] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 17:23:06,205] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:23:17,299] 46 root - INFO - Command 'STOP' sent to Arduino.
