[2025-03-10 18:03:10,422] 18 root - INFO - Models have been loaded..
[2025-03-10 18:03:12,425] 24 root - INFO - Arduino connected..
[2025-03-10 18:03:15,283] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 18:03:17,707] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 18:03:19,212] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 18:03:20,717] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 18:03:26,065] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:03:37,289] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 18:03:48,295] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
