[2025-03-10 18:24:28,063] 18 root - INFO - Models have been loaded..
[2025-03-10 18:24:30,067] 24 root - INFO - Arduino connected..
[2025-03-10 18:24:33,202] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 18:24:35,660] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 18:24:39,829] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:24:40,192] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 18:24:51,196] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 18:24:53,313] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:25:04,419] 46 root - INFO - Command 'STOP' sent to Arduino.
