[2025-03-10 16:33:16,084] 18 root - INFO - Models have been loaded..
[2025-03-10 16:33:18,087] 24 root - INFO - Arduino connected..
[2025-03-10 16:33:20,193] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 16:33:22,555] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 16:33:24,059] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 16:33:25,564] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 16:33:29,769] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:33:30,975] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:33:33,104] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:33:34,201] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:33:36,285] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:33:37,382] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:33:39,462] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:33:40,560] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:33:42,766] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:33:43,860] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:33:45,975] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:33:47,067] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:33:49,191] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:33:50,282] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:33:52,390] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:33:53,483] 46 root - INFO - Command 'STOP' sent to Arduino.
