[2025-03-10 18:05:08,031] 18 root - INFO - Models have been loaded..
[2025-03-10 18:05:10,034] 24 root - INFO - Arduino connected..
[2025-03-10 18:05:12,804] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 18:05:15,186] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 18:05:16,691] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 18:05:18,197] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 18:05:22,394] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:05:33,599] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 18:05:44,604] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
