[2025-03-10 17:40:37,807] 18 root - INFO - Models have been loaded..
[2025-03-10 17:40:39,810] 24 root - INFO - Arduino connected..
[2025-03-10 17:40:42,591] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 17:40:45,041] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 17:40:46,545] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 17:40:48,048] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 17:40:52,212] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:41:03,418] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 17:41:10,424] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
