[2025-03-10 18:19:46,353] 18 root - INFO - Models have been loaded..
[2025-03-10 18:19:48,356] 24 root - INFO - Arduino connected..
[2025-03-10 18:19:51,647] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 18:19:54,177] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 18:19:58,345] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:19:58,773] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 18:20:09,780] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 18:20:11,949] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:20:12,157] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
