[2025-03-10 18:25:54,956] 18 root - INFO - Models have been loaded..
[2025-03-10 18:25:56,960] 24 root - INFO - Arduino connected..
[2025-03-10 18:25:59,167] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 18:26:03,395] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 18:26:05,907] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 18:26:08,426] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 18:26:12,566] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:26:13,036] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 18:26:15,053] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 18:26:17,179] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
